id,transaction_date,amount,created_at
10002,2021-04-28,4981.84,2021-02-17
10003,2023-12-23,340.48,2023-10-07
10004,2023-03-19,4089.62,2021-05-31
10005,2021-04-12,-4.63,2022-11-06
10006,2022-09-05,2257.08,2023-11-26
10007,2022-06-14,1448.11,2021-08-15
10008,2023-02-04,3844.39,2021-05-14
10009,2021-04-28,-773.41,2022-12-18
10010,2021-09-20,1591.48,2021-03-06
10011,2023-10-24,298.79,2021-08-19
10012,2022-09-16,1393.09,2023-05-16
10013,2021-12-20,4372.88,2023-06-28
10014,2021-02-25,-403.34,2021-09-05
10015,2021-08-01,4679.69,2021-02-11
10016,2022-11-15,-300.45,2022-11-05
10017,2023-11-10,470.13,2021-02-26
10018,2022-09-22,2463.14,2023-02-19
10019,2021-08-16,2215.10,2022-10-08
10020,2022-04-08,1315.22,2022-08-28
10021,2023-05-08,1953.20,2022-05-18
10022,2022-05-23,4436.73,2023-06-17
10023,2021-05-17,506.93,2021-02-28
10024,2022-09-23,569.98,2023-09-12
10025,2021-04-16,3450.56,2023-04-29
10026,2021-03-22,3341.91,2023-07-04
10027,2022-05-21,4484.44,2021-08-31
10028,2022-10-03,-543.15,2021-06-06
10029,2023-04-09,-399.27,2022-02-05
10030,2021-05-21,2439.06,2021-09-20
10031,2021-03-27,-398.60,2023-03-29
10032,2022-07-20,-950.55,2023-11-15
10033,2021-02-03,3269.47,2021-04-10
10034,2021-01-22,4456.26,2021-05-15
10035,2023-06-04,2696.07,2023-09-02
10036,2022-10-15,2297.43,2023-08-14
10037,2023-09-21,574.16,2021-07-02
10038,2022-05-26,-281.63,2022-12-26
10039,2021-07-10,-925.57,2021-08-03
10040,2022-10-14,3559.87,2021-10-20
10041,2023-08-06,-60.50,2023-12-18
10042,2021-08-27,-841.62,2022-09-10
10043,2023-04-18,4937.59,2022-09-08
10044,2022-09-22,850.34,2022-04-16
10045,2022-07-28,499.89,2022-11-07
10046,2021-11-15,728.08,2022-07-31
10047,2023-04-24,598.40,2023-12-23
10048,2022-03-22,-540.25,2023-09-02
10049,2021-03-20,-559.25,2021-07-28
10050,2022-10-25,320.33,2021-07-02
10051,2023-07-05,-50.48,2022-05-13
10052,2022-08-09,4791.83,2022-02-11
10053,2023-10-14,-635.49,2022-06-10
10054,2023-08-20,1469.47,2022-09-05
10055,2022-04-28,2462.02,2022-11-13
10056,2021-08-05,-227.49,2023-08-20
10057,2022-12-15,1507.85,2021-12-02
10058,2023-06-11,666.87,2022-04-06
10059,2022-12-12,3378.12,2022-01-16
10060,2022-05-13,2029.20,2022-07-29
10061,2022-09-27,2599.55,2023-06-05
10062,2023-04-13,1995.18,2021-07-02
10063,2022-11-18,4566.96,2023-09-04
10064,2022-01-21,-571.84,2023-08-20
10065,2023-12-17,4374.43,2023-10-27
10066,2023-01-12,1230.67,2022-03-12
10067,2023-03-20,-844.31,2021-08-14
10068,2022-04-20,3645.49,2022-03-15
10069,2022-11-28,4747.14,2023-08-25
10070,2023-05-21,2426.09,2022-11-07
10071,2021-01-26,-247.94,2023-11-24
10072,2023-12-21,1070.84,2021-03-28
10073,2023-02-12,1962.38,2021-02-26
10074,2021-02-18,-293.26,2022-07-19
10075,2021-07-25,3507.71,2021-01-09
10076,2022-08-26,3475.09,2022-07-28
10077,2023-10-10,2290.94,2023-08-24
10078,2022-06-12,3449.29,2021-02-23
10079,2023-03-12,2703.29,2022-12-13
10080,2022-09-18,4240.63,2021-02-03
10081,2022-01-07,4481.88,2021-10-16
10082,2022-06-24,2565.04,2022-05-24
10083,2021-06-04,4732.23,2022-07-05
10084,2023-10-02,3699.38,2021-05-23
10085,2023-04-07,1576.23,2021-05-05
10086,2022-03-25,1494.04,2022-09-23
10087,2023-02-20,-550.66,2021-01-24
10088,2022-02-02,1115.74,2022-03-12
10089,2022-09-20,5.83,2021-02-13
10090,2022-02-15,1526.71,2021-10-17
10091,2021-02-09,498.20,2021-05-09
10092,2022-02-27,3195.50,2022-09-13
10093,2023-06-21,4007.98,2023-09-23
10094,2022-07-09,-75.25,2022-09-05
10095,2021-08-16,917.56,2021-11-22
10096,2022-05-09,4650.45,2021-11-11
10097,2022-11-17,2053.23,2021-03-10
10098,2021-02-28,353.17,2021-07-09
10099,2021-09-01,-322.13,2021-06-22
10100,2023-10-18,1943.24,2021-09-09
10101,2021-05-17,2218.66,2022-01-14
10102,2022-11-19,4284.08,2023-02-25
10103,2023-08-10,1546.24,2023-06-14
10104,2021-08-27,-529.92,2022-07-16
10105,2022-08-01,2856.80,2023-01-02
